"Date","Price","Open","High","Low","Vol.","Change %"
"Sep 29, 2011","3.650","3.630","3.690","3.620","18.63M","0.55%"
"Sep 28, 2011","3.630","3.630","3.710","3.610","21.81M","-0.27%"
"Sep 27, 2011","3.640","3.580","3.640","3.560","7.37M","3.12%"
"Sep 26, 2011","3.530","3.270","3.560","3.270","10.99M","4.44%"
"Sep 23, 2011","3.380","3.480","3.510","3.320","11.17M","-2.87%"
"Sep 22, 2011","3.480","3.580","3.630","3.470","8.71M","-5.69%"
"Sep 21, 2011","3.690","3.680","3.740","3.670","15.38M","-0.27%"
"Sep 20, 2011","3.700","3.460","3.790","3.450","28.34M","6.94%"
"Sep 19, 2011","3.460","3.460","3.520","3.440","13.81M","-1.42%"
"Sep 16, 2011","3.510","3.470","3.520","3.450","11.28M","1.15%"
"Sep 15, 2011","3.470","3.400","3.490","3.400","14.85M","2.36%"
"Sep 14, 2011","3.390","3.380","3.510","3.360","16.88M","0.00%"
"Sep 13, 2011","3.390","3.340","3.400","3.310","13.86M","2.11%"
"Sep 12, 2011","3.320","3.250","3.330","3.220","9.33M","0.91%"
"Sep 09, 2011","3.290","3.370","3.410","3.210","18.88M","-2.37%"
"Sep 08, 2011","3.370","3.310","3.380","3.280","21.41M","2.12%"
"Sep 07, 2011","3.300","3.350","3.380","3.290","11.45M","0.00%"
"Sep 06, 2011","3.300","3.190","3.300","3.190","14.52M","3.45%"
"Sep 05, 2011","3.190","3.170","3.260","3.140","16.38M","-0.93%"
"Sep 02, 2011","3.220","3.150","3.270","3.140","14.56M","4.55%"
"Aug 29, 2011","3.080","3.090","3.100","3.080","2.01M","0.65%"
"Aug 26, 2011","3.060","3.040","3.060","3.020","11.90M","0.99%"
"Aug 25, 2011","3.030","3.080","3.110","3.030","13.25M","-0.98%"
"Aug 24, 2011","3.060","3.020","3.080","2.980","13.63M","2.00%"
"Aug 23, 2011","3.000","3.100","3.110","2.960","19.42M","-2.60%"
"Aug 22, 2011","3.080","2.970","3.150","2.940","24.68M","1.32%"
"Aug 19, 2011","3.040","2.950","3.040","2.840","26.84M","2.01%"
"Aug 18, 2011","2.980","3.140","3.150","2.950","13.89M","-5.70%"
"Aug 17, 2011","3.160","3.150","3.310","3.100","18.74M","-0.63%"
"Aug 16, 2011","3.180","3.020","3.180","2.990","16.69M","4.61%"
"Aug 15, 2011","3.040","3.000","3.040","2.980","10.59M","2.70%"
"Aug 12, 2011","2.960","2.930","3.010","2.820","24.62M","1.02%"
"Aug 11, 2011","2.930","2.990","3.010","2.680","24.15M","1.38%"
"Aug 10, 2011","2.890","3.170","3.230","2.880","20.46M","-8.25%"
"Aug 09, 2011","3.150","3.170","3.220","2.980","20.06M","0.00%"
"Aug 08, 2011","3.150","3.270","3.390","3.060","15.28M","-6.53%"
"Aug 05, 2011","3.370","3.350","3.430","3.270","12.29M","-2.88%"
"Aug 04, 2011","3.470","3.590","3.610","3.420","20.90M","-2.53%"
"Aug 03, 2011","3.560","3.570","3.610","3.540","15.05M","-0.84%"
"Aug 02, 2011","3.590","3.560","3.590","3.540","11.44M","1.41%"
"Aug 01, 2011","3.540","3.570","3.620","3.520","9.07M","0.57%"
"Jul 29, 2011","3.520","3.500","3.540","3.480","10.86M","-0.28%"
"Jul 28, 2011","3.530","3.420","3.540","3.420","16.21M","2.92%"
"Jul 27, 2011","3.430","3.430","3.530","3.410","17.13M","-0.29%"
"Jul 26, 2011","3.440","3.430","3.460","3.400","12.98M","0.58%"
"Jul 25, 2011","3.420","3.320","3.430","3.250","17.78M","1.79%"
"Jul 22, 2011","3.360","3.500","3.510","3.340","9.89M","-3.45%"
"Jul 21, 2011","3.480","3.490","3.510","3.370","9.58M","0.00%"
"Jul 20, 2011","3.480","3.500","3.540","3.460","4.80M","-0.57%"
"Jul 19, 2011","3.500","3.520","3.560","3.470","6.81M","-1.13%"
"Jul 18, 2011","3.540","3.620","3.650","3.510","9.00M","-2.75%"
"Jul 15, 2011","3.640","3.650","3.680","3.620","5.13M","-0.27%"
"Jul 14, 2011","3.650","3.680","3.720","3.650","20.10M","-1.35%"
"Jul 13, 2011","3.700","3.640","3.700","3.640","10.20M","1.65%"
"Jul 12, 2011","3.640","3.600","3.670","3.570","14.41M","-1.09%"
